draft_year,round,pick_number,drafted_by,player_name,position,games_played,points,performance_score
2015,7,210,Vancouver Canucks,Tate Olson,D,0.0,0.0,0.0
2015,7,211,Chicago Blackhawks,John Dahlstrom,R,0.0,0.0,0.0
2016,1,1,Toronto Maple Leafs,Auston Matthews,C,689.0,780.0,1278.91
2016,1,2,Winnipeg Jets,Patrik Laine,L,537.0,422.0,996.65
2016,1,3,Columbus Blue Jackets,Pierre-Luc Dubois,L,623.0,425.0,912.14
2016,1,4,Edmonton Oilers,Jesse Puljujarvi,R,387.0,128.0,625.64
2016,1,5,Vancouver Canucks,Olli Juolevi,D,41.0,3.0,47.87
2016,1,6,Calgary Flames,Matthew Tkachuk,L,671.0,668.0,1167.6
2016,1,7,Arizona Coyotes,Clayton Keller,R,677.0,586.0,1061.66
2016,1,8,Buffalo Sabres,Alex Nylander,L,126.0,49.0,238.21
2016,1,9,Montreal Canadiens,Mikhail Sergachev,D,624.0,365.0,832.86
2016,1,10,Colorado Avalanche,Tyson Jost,C,558.0,164.0,595.6
2016,1,11,Ottawa Senators,Logan Brown,C,99.0,26.0,158.54
2016,1,12,New Jersey Devils,Michael McLeod,C,287.0,85.0,481.65
2016,1,13,Carolina Hurricanes,Jake Bean,D,277.0,65.0,425.85
2016,1,14,Boston Bruins,Charlie McAvoy,D,569.0,358.0,868.93
2016,1,15,Minnesota Wild,Luke Kunin,C,491.0,147.0,600.07
2016,1,16,Arizona Coyotes,Jakob Chychrun,D,616.0,322.0,782.15
2016,1,17,Nashville Predators,Dante Fabbro,D,446.0,108.0,553.41
2016,1,18,Winnipeg Jets,Logan Stanley,D,274.0,59.0,409.11
2016,1,19,New York Islanders,Kieffer Bellows,L,114.0,32.0,187.28
2016,1,20,Detroit Red Wings,Dennis Cholowski,D,171.0,41.0,264.89
2016,1,21,Carolina Hurricanes,Julien Gauthier,R,181.0,41.0,274.89
2016,1,22,Philadelphia Flyers,German Rubtsov,C,4.0,0.0,4.0
2016,1,23,Florida Panthers,Henrik Borgstrom,C,111.0,26.0,170.54
2016,1,24,Anaheim Ducks,Max Jones,L,302.0,69.0,460.01
2016,1,25,Dallas Stars,Riley Tufte,L,28.0,4.0,37.16
2016,1,26,St. Louis Blues,Tage Thompson,C,525.0,403.0,981.79
2016,1,27,Tampa Bay Lightning,Brett Howden,C,484.0,162.0,628.87
2016,1,28,Washington Capitals,Lucas Johansen,D,9.0,2.0,13.58
2016,1,29,Boston Bruins,Trent Frederic,C,407.0,115.0,586.35
2016,1,30,Anaheim Ducks,Sam Steel,C,490.0,175.0,647.16
2016,2,31,Toronto Maple Leafs,Egor Korshkov,L,1.0,1.0,3.29
2016,2,32,Edmonton Oilers,Tyler Benson,L,38.0,3.0,44.87
2016,2,33,Buffalo Sabres,Rasmus Asplund,C,189.0,49.0,301.21
2016,2,34,Columbus Blue Jackets,Andrew Peeke,D,381.0,75.0,516.48
2016,2,35,St. Louis Blues,Jordan Kyrou,R,481.0,373.0,988.19
2016,2,36,Philadelphia Flyers,Pascal Laberge,C,0.0,0.0,0.0
2016,2,37,Tampa Bay Lightning,Libor Hajek,D,110.0,12.0,137.48
2016,2,38,Florida Panthers,Adam Mascherin,L,0.0,0.0,0.0
2016,2,39,Chicago Blackhawks,Alex DeBrincat,R,690.0,590.0,1053.09
2016,2,40,Colorado Avalanche,Cameron Morrison,L,0.0,0.0,0.0
2016,2,41,New Jersey Devils,Nathan Bastian,R,312.0,75.0,483.75
2016,2,42,Ottawa Senators,Jonathan Dahlen,C,61.0,22.0,111.38
2016,2,43,Carolina Hurricanes,Janne Kuokkanen,C,119.0,42.0,215.18
2016,2,44,Tampa Bay Lightning,Boris Katchouk,L,179.0,36.0,261.44
2016,2,45,Chicago Blackhawks,Chad Krys,D,0.0,0.0,0.0
2016,2,46,Detroit Red Wings,Givani Smith,R,168.0,22.0,218.38
2016,2,47,Nashville Predators,Samuel Girard,D,604.0,241.0,681.29
2016,2,49,Boston Bruins,Ryan Lindgren,D,476.0,111.0,546.11
2016,2,50,Chicago Blackhawks,Artur Kayumov,L,0.0,0.0,0.0
2016,2,51,Los Angeles Kings,Kale Clague,D,94.0,21.0,142.09
2016,2,52,Philadelphia Flyers,Wade Allison,R,75.0,22.0,125.38
2016,2,53,Detroit Red Wings,Filip Hronek,D,527.0,284.0,795.33
2016,2,56,Calgary Flames,Dillon Dube,C,325.0,127.0,615.83
